Flight_ID,Date,Day_of_Week,Airline,Origin_Airport,Destination_Airport,Aircraft_Type,Flight_Status,Time_of_Day,Flight_Delay_Mins,Aircraft_Age_Years
1,31/1/2014,Saturday,JetBlue Airways,LGA,DFW,Airbus A380,On-time,Night,0,22
2,30/12/2014,Sunday,United Airlines,DFW,DEN,Boeing 737,On-time,Night,0,16
3,10/5/2013,Friday,United Airlines,MIA,DEN,Airbus A320,On-time,Afternoon,0,6
4,18/7/2014,Thursday,JetBlue Airways,MIA,LGA,Airbus A320,Delayed,Morning,109,7
5,4/2/2014,Tuesday,JetBlue Airways,ATL,ATL,Airbus A380,On-time,Morning,0,29
6,31/12/2013,Saturday,United Airlines,LAX,EWR,Boeing 737,On-time,Evening,0,13
7,21/9/2015,Sunday,Delta Airlines,JFK,MIA,Boeing 737,Delayed,Afternoon,26,20
8,10/11/2013,Tuesday,Delta Airlines,JFK,SFO,Embraer E175,On-time,Night,0,26
9,27/6/2015,Monday,Delta Airlines,EWR,SFO,Boeing 737,Delayed,Morning,163,29
10,2/5/2011,Friday,JetBlue Airways,JFK,ORD,Airbus A320,On-time,Night,0,26
11,11/4/2012,Monday,United Airlines,DEN,LAX,Boeing 777,On-time,Night,0,9
12,23/5/2014,Sunday,United Airlines,EWR,DEN,Airbus A380,On-time,Afternoon,0,19
13,27/11/2011,Saturday,United Airlines,MIA,ATL,Boeing 777,On-time,Night,0,7
14,22/1/2015,Tuesday,American Airlines,LGA,EWR,Boeing 737,Delayed,Afternoon,106,16
15,29/3/2011,Tuesday,American Airlines,ORD,DEN,Airbus A320,On-time,Night,0,25
16,28/10/2014,Friday,Southwest Airlines,LAX,ORD,Boeing 777,Delayed,Morning,87,24
17,28/1/2014,Saturday,American Airlines,LAX,ATL,Airbus A380,On-time,Afternoon,0,7
18,21/5/2013,Thursday,Delta Airlines,LGA,JFK,Embraer E175,On-time,Night,0,15
19,15/8/2015,Thursday,Delta Airlines,LGA,EWR,Boeing 777,On-time,Evening,0,29
20,11/5/2011,Friday,Delta Airlines,ORD,DFW,Embraer E175,On-time,Evening,0,5
21,13/8/2015,Saturday,Delta Airlines,ATL,EWR,Boeing 737,On-time,Evening,0,2
22,25/8/2014,Friday,Southwest Airlines,SFO,JFK,Boeing 737,On-time,Evening,0,29
23,8/2/2013,Saturday,Delta Airlines,LAX,DEN,Airbus A380,Delayed,Morning,6,2
24,10/12/2011,Sunday,JetBlue Airways,ATL,DFW,Embraer E175,On-time,Morning,0,20
25,24/2/2015,Sunday,JetBlue Airways,JFK,ATL,Embraer E175,On-time,Evening,0,5
26,8/12/2014,Monday,JetBlue Airways,LGA,MIA,Airbus A380,On-time,Night,0,12
27,16/3/2013,Friday,American Airlines,EWR,ATL,Boeing 777,On-time,Morning,0,4
28,21/1/2012,Saturday,United Airlines,ATL,ORD,Airbus A380,Delayed,Evening,142,27
29,30/4/2014,Thursday,Southwest Airlines,ATL,DFW,Boeing 737,On-time,Morning,0,18
30,13/8/2013,Saturday,JetBlue Airways,LAX,EWR,Embraer E175,On-time,Morning,0,20
31,4/10/2011,Sunday,JetBlue Airways,MIA,LAX,Airbus A320,On-time,Night,0,11
32,30/3/2014,Saturday,Delta Airlines,EWR,JFK,Airbus A320,On-time,Night,0,29
33,4/4/2012,Friday,JetBlue Airways,SFO,DFW,Boeing 737,On-time,Afternoon,0,21
34,30/8/2014,Monday,Delta Airlines,JFK,MIA,Embraer E175,On-time,Night,0,20
35,22/1/2011,Monday,Delta Airlines,ORD,LGA,Embraer E175,On-time,Evening,0,6
36,10/9/2011,Monday,United Airlines,DFW,DFW,Airbus A380,On-time,Afternoon,0,13
37,17/1/2013,Monday,American Airlines,MIA,ORD,Boeing 777,Delayed,Evening,11,26
38,6/5/2013,Sunday,Delta Airlines,LAX,LAX,Airbus A380,On-time,Night,0,23
39,4/5/2015,Wednesday,Delta Airlines,MIA,LGA,Airbus A320,On-time,Night,0,5
40,19/4/2012,Friday,United Airlines,EWR,DFW,Embraer E175,On-time,Morning,0,25
41,18/12/2013,Tuesday,Delta Airlines,DEN,DFW,Boeing 777,On-time,Evening,0,29
42,25/5/2012,Friday,Southwest Airlines,SFO,ATL,Airbus A380,On-time,Afternoon,0,4
43,2/9/2015,Wednesday,American Airlines,JFK,SFO,Boeing 777,Delayed,Night,44,27
44,8/2/2015,Monday,Southwest Airlines,MIA,EWR,Airbus A320,On-time,Afternoon,0,10
45,30/11/2012,Wednesday,JetBlue Airways,SFO,SFO,Boeing 777,On-time,Night,0,2
46,2/9/2013,Thursday,American Airlines,DFW,ATL,Embraer E175,On-time,Night,0,27
47,12/12/2015,Thursday,JetBlue Airways,JFK,LGA,Boeing 777,On-time,Morning,0,26
48,9/7/2011,Sunday,Delta Airlines,DFW,SFO,Boeing 777,Delayed,Afternoon,5,8
