,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud,trans_day,trans_month,trans_year,trans_hour,trans_minute,dob_year,age,distance_km
0,600,3,14.37,166,0,64.7556,-165.6723,145,1,47,9134,65.654142,-164.722603,1,4,1,2019,0,58,1939,80,109.2856
1,486,11,966.11,166,0,64.7556,-165.6723,145,1,47,9247,65.468863,-165.473127,1,4,1,2019,15,6,1939,80,79.8569
2,674,9,49.61,166,0,64.7556,-165.6723,145,1,47,7511,65.347667,-165.914542,1,4,1,2019,22,37,1939,80,66.8079
3,447,4,295.26,166,0,64.7556,-165.6723,145,1,47,3196,64.445035,-166.080207,1,4,1,2019,23,6,1939,80,39.6362
4,180,5,18.17,166,0,64.7556,-165.6723,145,1,47,7643,65.447094,-165.446843,1,4,1,2019,23,59,1939,80,77.6115
5,498,2,20.45,166,0,64.7556,-165.6723,145,1,47,13427,64.088838,-165.104078,1,5,1,2019,3,15,1939,80,78.9988
6,243,2,18.19,166,0,64.7556,-165.6723,145,1,47,7928,63.917785,-165.827621,1,5,1,2019,3,21,1939,80,93.4605
7,472,4,367.29,18,6,40.029,-93.1607,602,37,71,5296,39.167065,-93.705245,1,5,1,2019,11,31,1954,65,106.5952
8,416,8,768.15,166,0,64.7556,-165.6723,145,1,47,14134,64.623325,-166.403973,1,5,1,2019,18,3,1939,80,37.7643
9,142,8,849.49,166,0,64.7556,-165.6723,145,1,47,10354,65.266065,-164.865352,1,5,1,2019,22,2,1939,80,68.2532
10,198,11,1177.79,18,6,40.029,-93.1607,602,37,71,13568,39.288305,-92.476947,1,5,1,2019,22,5,1954,65,101.0411
11,428,4,307.09,166,0,64.7556,-165.6723,145,1,47,6538,64.909145,-164.712087,1,5,1,2019,22,12,1939,80,48.5095
12,234,7,4.58,166,0,64.7556,-165.6723,145,1,47,7998,65.052892,-166.067029,1,5,1,2019,22,18,1939,80,37.9385
13,484,12,730.78,166,0,64.7556,-165.6723,145,1,47,1963,65.233866,-166.550779,1,5,1,2019,22,32,1939,80,67.327
14,200,11,1006.4,166,0,64.7556,-165.6723,145,1,47,4277,65.220316,-165.005725,1,5,1,2019,22,33,1939,80,60.4336
15,33,12,830.72,166,0,64.7556,-165.6723,145,1,47,6641,65.710538,-165.986117,1,5,1,2019,22,38,1939,80,107.1855
16,468,4,311.92,166,0,64.7556,-165.6723,145,1,47,1385,64.79501,-165.670735,1,5,1,2019,23,17,1939,80,4.3828
17,22,12,762.93,18,6,40.029,-93.1607,602,37,71,1414,40.205262,-93.499211,1,5,1,2019,23,26,1954,65,34.8239
18,175,11,855.88,18,6,40.029,-93.1607,602,37,71,10556,40.786018,-93.301092,1,6,1,2019,18,39,1954,65,85.0117
19,193,11,909.29,18,6,40.029,-93.1607,602,37,71,10420,40.977312,-93.55098,1,6,1,2019,23,33,1954,65,110.4896
20,358,2,7.04,130,7,41.0233,-98.9041,2202,138,118,3710,40.287778,-98.570998,1,12,1,2019,1,46,1974,45,86.4786
21,310,12,644.4,130,7,41.0233,-98.9041,2202,138,118,11101,40.834742,-99.895337,1,12,1,2019,15,36,1974,45,85.8724
22,342,8,784.77,130,7,41.0233,-98.9041,2202,138,118,4942,40.341318,-99.045651,1,12,1,2019,23,9,1974,45,76.7665
23,311,11,1116.8,130,7,41.0233,-98.9041,2202,138,118,11424,41.192006,-99.230584,1,12,1,2019,23,57,1974,45,33.1682
24,309,4,320.6,130,7,41.0233,-98.9041,2202,138,118,8496,41.867565,-99.096279,1,13,1,2019,0,14,1974,45,95.2347
25,466,4,276.8,130,7,41.0233,-98.9041,2202,138,118,9074,41.700959,-98.207349,1,13,1,2019,1,59,1974,45,95.1793
26,645,4,336.2,130,7,41.0233,-98.9041,2202,138,118,5488,41.965421,-98.334757,1,13,1,2019,2,16,1974,45,114.9907
27,616,11,994.92,142,2,37.3304,-121.7913,973849,131,60,9086,38.075623,-122.14827,1,13,1,2019,21,10,1955,64,88.6163
28,649,11,1062.95,130,7,41.0233,-98.9041,2202,138,118,1858,41.942402,-98.005584,1,13,1,2019,22,1,1974,45,126.675
29,531,12,770.94,130,7,41.0233,-98.9041,2202,138,118,746,41.569284,-98.87645,1,13,1,2019,22,17,1974,45,60.7546
30,623,8,816.89,142,2,37.3304,-121.7913,973849,131,60,1345,37.301768,-122.469759,1,13,1,2019,23,4,1955,64,60.0829
31,376,0,510.59,130,7,41.0233,-98.9041,2202,138,118,13580,41.213009,-98.097519,1,13,1,2019,23,17,1974,45,70.7827
32,359,4,307.5,142,2,37.3304,-121.7913,973849,131,60,8698,37.5925,-122.356511,1,13,1,2019,23,28,1955,64,57.776
33,475,8,790.35,142,2,37.3304,-121.7913,973849,131,60,6989,37.033841,-121.371988,1,13,1,2019,23,45,1955,64,49.6721
34,337,11,1065.43,130,7,41.0233,-98.9041,2202,138,118,251,41.880236,-98.612455,1,13,1,2019,23,57,1974,45,98.338
35,494,4,306.81,142,2,37.3304,-121.7913,973849,131,60,14240,36.502259,-122.323669,1,14,1,2019,0,27,1955,64,103.5352
36,474,2,12.57,142,2,37.3304,-121.7913,973849,131,60,12511,36.860137,-122.217748,1,14,1,2019,0,37,1955,64,64.5359
37,459,4,324.87,170,7,41.4193,-99.3844,73,116,48,2815,41.603137,-99.129649,1,14,1,2019,0,46,1935,84,29.4587
38,88,3,16.44,170,7,41.4193,-99.3844,73,116,48,7300,40.869894,-99.153196,1,14,1,2019,1,41,1935,84,64.0853
39,572,4,277.53,142,2,37.3304,-121.7913,973849,131,60,8902,36.59875,-121.383937,1,14,1,2019,1,42,1955,64,89.0427
40,631,3,13.2,170,7,41.4193,-99.3844,73,116,48,9511,42.024265,-98.441592,1,14,1,2019,2,27,1935,84,103.187
41,324,3,12.95,170,7,41.4193,-99.3844,73,116,48,7129,40.701366,-98.890275,1,14,1,2019,8,44,1935,84,89.94
42,285,2,8.25,142,2,37.3304,-121.7913,973849,131,60,10179,37.259809,-121.89842,1,14,1,2019,9,30,1955,64,12.3045
43,32,12,839.35,170,7,41.4193,-99.3844,73,116,48,7116,42.337832,-99.34228,1,14,1,2019,16,15,1935,84,102.1956
44,42,12,969.64,142,2,37.3304,-121.7913,973849,131,60,1208,36.709536,-122.649175,1,14,1,2019,22,28,1955,64,102.7944
45,502,11,1034.21,170,7,41.4193,-99.3844,73,116,48,12164,41.12487,-100.349332,1,14,1,2019,23,17,1935,84,87.0335
46,331,1,121.62,170,7,41.4193,-99.3844,73,116,48,2724,40.544371,-98.726597,1,14,1,2019,23,18,1935,84,111.8647
47,650,3,15.05,170,7,41.4193,-99.3844,73,116,48,13695,42.015822,-98.943391,1,15,1,2019,1,7,1935,84,75.7593
48,327,8,851.71,170,7,41.4193,-99.3844,73,116,48,1921,40.461654,-98.987825,1,15,1,2019,22,50,1935,84,111.5735
49,392,11,1124.01,170,7,41.4193,-99.3844,73,116,48,1350,40.65072,-98.820629,1,15,1,2019,23,1,1935,84,97.6713
50,504,11,1140.41,170,7,41.4193,-99.3844,73,116,48,6995,41.151133,-99.38238,1,15,1,2019,23,12,1935,84,29.8193
51,431,9,795.59,158,10,38.9999,-109.615,46,141,128,5171,38.278335,-109.044284,1,17,1,2019,1,30,1987,32,94.3108
52,358,2,9.79,158,10,38.9999,-109.615,46,141,128,6462,39.157345,-109.126592,1,17,1,2019,8,59,1987,32,45.6492
53,364,6,187.35,158,10,38.9999,-109.615,46,141,128,4405,39.42207,-109.555496,1,17,1,2019,22,26,1987,32,47.2223
54,450,0,564.34,158,10,38.9999,-109.615,46,141,128,10360,38.435536,-109.844716,1,17,1,2019,22,45,1987,32,65.843
55,70,11,978.96,158,10,38.9999,-109.615,46,141,128,14144,38.893999,-109.677707,1,18,1,2019,0,23,1987,32,12.9643
56,304,11,849.79,158,10,38.9999,-109.615,46,141,128,8021,38.376171,-110.36249,1,18,1,2019,3,36,1987,32,94.9694
57,510,11,955.4,158,10,38.9999,-109.615,46,141,128,3634,38.748484,-110.32181,1,18,1,2019,3,54,1987,32,67.271
58,577,10,21.54,158,10,38.9999,-109.615,46,141,128,11609,38.211376,-109.986757,1,18,1,2019,14,38,1987,32,93.441
59,40,0,528.98,158,10,38.9999,-109.615,46,141,128,2889,39.164469,-109.933543,1,18,1,2019,22,6,1987,32,33.0276
60,23,10,21.23,158,10,38.9999,-109.615,46,141,128,2539,38.998205,-110.005615,1,18,1,2019,22,12,1987,32,33.7558
61,9,13,9.33,158,10,38.9999,-109.615,46,141,128,8985,39.23064,-108.990363,1,18,1,2019,23,16,1987,32,59.6856
62,666,0,386.91,158,10,38.9999,-109.615,46,141,128,4011,39.262556,-109.656927,1,18,1,2019,23,31,1987,32,29.4291
63,270,4,329.83,122,2,34.298,-114.156,126,92,39,2477,35.269747,-115.001724,1,27,1,2019,1,34,1992,27,132.8178
64,345,4,298.01,122,2,34.298,-114.156,126,92,39,3023,34.068192,-113.412581,1,27,1,2019,4,43,1992,27,73.002
65,140,8,1043.38,122,2,34.298,-114.156,126,92,39,998,34.351802,-114.176826,1,27,1,2019,22,35,1992,27,6.2808
66,346,11,1189.69,122,2,34.298,-114.156,126,92,39,926,34.327016,-114.299654,1,27,1,2019,22,53,1992,27,13.5826
67,415,4,289.8,122,2,34.298,-114.156,126,92,39,1703,34.11963,-114.068992,1,27,1,2019,23,11,1992,27,21.3869
68,179,12,795.01,122,2,34.298,-114.156,126,92,39,4556,34.922036,-113.901876,1,27,1,2019,23,12,1992,27,73.1832
69,147,4,296.87,122,2,34.298,-114.156,126,92,39,5755,33.352471,-113.515467,1,28,1,2019,0,7,1992,27,120.643
70,217,4,294.02,122,2,34.298,-114.156,126,92,39,13346,33.868431,-114.495419,1,28,1,2019,1,51,1992,27,57.0847
71,316,4,295.07,141,2,32.7185,-117.1593,1241364,33,178,8978,32.136058,-118.113176,1,28,1,2019,2,16,1987,32,110.4963
72,328,4,321.49,122,2,34.298,-114.156,126,92,39,7434,35.181692,-115.067423,1,28,1,2019,3,29,1992,27,128.8049
73,308,4,276.99,141,2,32.7185,-117.1593,1241364,33,178,1464,32.602272,-117.826092,1,28,1,2019,3,53,1987,32,63.7443
74,29,4,306.2,141,2,32.7185,-117.1593,1241364,33,178,8732,31.874764,-117.478948,1,28,1,2019,5,19,1987,32,98.5123
75,329,4,290.89,141,2,32.7185,-117.1593,1241364,33,178,10968,31.881961,-117.269511,1,28,1,2019,8,35,1987,32,93.5939
76,311,11,1005.31,141,2,32.7185,-117.1593,1241364,33,178,14263,33.003474,-116.408968,1,28,1,2019,22,40,1987,32,76.9135
77,268,4,287.42,122,2,34.298,-114.156,126,92,39,10023,33.39735,-114.42256,1,28,1,2019,22,54,1992,27,103.1287
78,528,11,1058.01,141,2,32.7185,-117.1593,1241364,33,178,12965,33.259031,-117.083503,1,28,1,2019,23,14,1987,32,60.5186
79,502,11,1037.0,141,2,32.7185,-117.1593,1241364,33,178,9589,33.086398,-117.259417,1,28,1,2019,23,48,1987,32,41.9626
80,447,4,285.88,141,2,32.7185,-117.1593,1241364,33,178,10899,32.297113,-117.660065,1,29,1,2019,1,39,1987,32,66.3365
81,142,8,731.6,141,2,32.7185,-117.1593,1241364,33,178,11272,31.967624,-116.858395,1,29,1,2019,1,59,1987,32,88.149
82,563,4,326.94,141,2,32.7185,-117.1593,1241364,33,178,2392,32.64137,-116.730718,1,29,1,2019,3,59,1987,32,41.0188
83,32,12,715.29,141,2,32.7185,-117.1593,1241364,33,178,4061,32.785261,-117.276053,1,29,1,2019,23,36,1987,32,13.203
